state,city,town,zip
"Monaco, MC","Port de La Condamine, MC","La Condamine, MC","98000, MC"
"Monaco, MC","Jardin Exotique, MC","Monaco-Ville, MC","98000, MC"
"Monaco, MC","Larvotto, MC","Larvotto, MC","98000, MC"
"Monaco, MC","Monaco-Ville, MC","Monaco-Ville, MC","98000, MC"
"Monaco, MC","Monaco, MC","Monaco, MC","98000, MC"
"Monaco, MC","Port de Fontvieille, MC","Fontvieille, MC","98000, MC"
"Monaco, MC","La Condamine, MC","La Condamine, MC","98000, MC"
"Monaco, MC","Anse de la Grue, MC","Monte-Carlo, MC","98000, MC"
"Monaco, MC","Pointe Saint-Martin, MC","Monaco-Ville, MC","98000, MC"
"Monaco, MC","Port Hercule, MC","Fontvieille, MC","98000, MC"
"Monaco, MC","Pointe Saint-Antoine, MC","Larvotto, MC","98000, MC"
"Monaco, MC","Anse du Portier, MC","Larvotto, MC","98000, MC"
"Monaco, MC","Pointe Focinana, MC","Monte-Carlo, MC","98000, MC"
"Monaco, MC","Plage du Larvotto, MC","Larvotto, MC","98000, MC"
"Monaco, MC","Rocher de Monaco, MC","Monaco-Ville, MC","98000, MC"
"Monaco, MC","Réserve Sous-marine du Larvotto, MC","Larvotto, MC","98000, MC"
"Monaco, MC","Réserve Sous-marine de Monaco, MC","Monaco, MC","98000, MC"
"Monaco, MC","Commune de Monaco, MC","Monaco, MC","98000, MC"
"Monaco, MC","Les Moneghetti, MC","Les Moneghetti, MC","98000, MC"
"Monaco, MC","Ciappaira, MC","Monaco-Ville, MC","98000, MC"
"Monaco, MC","Pointe Sainte-Barbe, MC","Fontvieille, MC","98000, MC"
"Monaco, MC","Stade Louis Deux, MC","Fontvieille, MC","98000, MC"
"Monaco, MC","Anse de Canton, MC","Fontvieille, MC","98000, MC"
"Monaco, MC","Condamine, MC","La Condamine, MC","98000, MC"
"Monaco, MC","Jardin Japonais, MC","Larvotto, MC","98000, MC"
"Monaco, MC","Monte-Carlo, MC","Monte-Carlo, MC","98000, MC"
"Monaco, MC","Fontvieille, MC","Fontvieille, MC","98000, MC"
"Monaco, MC","Port de Monaco, MC","La Condamine, MC","98000, MC"
"Monaco, MC","Pointe de la Poudrière, MC","Monaco-Ville, MC","98000, MC"
